source,target,value
Douglas Elliman in 2017,Douglas Elliman in 2018,2192.0
Corcoran in 2017,Corcoran in 2018,1460.0
Other Firm in 2017,Compass in 2018,1190.0
Compass in 2017,Compass in 2018,750.0
Other Firm in 2017,Douglas Elliman in 2018,712.0
Brown Harris Stevens in 2017,Brown Harris Stevens in 2018,611.0
Other Firm in 2017,Corcoran in 2018,505.0
Not Licensed in 2017,Douglas Elliman in 2018,298.0
Not Licensed in 2017,Compass in 2018,231.0
Not Licensed in 2017,Corcoran in 2018,192.0
Other Firm in 2017,Brown Harris Stevens in 2018,162.0
Core in 2017,Core in 2018,113.0
Corcoran in 2017,Compass in 2018,97.0
Douglas Elliman in 2017,Compass in 2018,74.0
Not Licensed in 2017,Brown Harris Stevens in 2018,60.0
Other Firm in 2017,Core in 2018,50.0
Core in 2017,Compass in 2018,35.0
Corcoran in 2017,Douglas Elliman in 2018,25.0
Not Licensed in 2017,Core in 2018,22.0
Douglas Elliman in 2017,Corcoran in 2018,21.0
Brown Harris Stevens in 2017,Compass in 2018,15.0
Compass in 2017,Douglas Elliman in 2018,11.0
Core in 2017,Corcoran in 2018,9.0
Compass in 2017,Corcoran in 2018,8.0
Brown Harris Stevens in 2017,Corcoran in 2018,8.0
Corcoran in 2017,Brown Harris Stevens in 2018,8.0
Douglas Elliman in 2017,Douglas Elliman in 2018,3.0
Douglas Elliman in 2017,Brown Harris Stevens in 2018,2.0
Corcoran in 2017,Corcoran in 2018,1.0
Core in 2017,Douglas Elliman in 2018,1.0
Compass in 2017,Brown Harris Stevens in 2018,1.0
Core in 2017,Brown Harris Stevens in 2018,1.0
